"year","sex","age","deaths"
2019,"male",25,254.068105842594
2019,"male",30,236.0632794443
2019,"male",35,261.069982775263
2019,"male",40,325.087143302531
2019,"male",45,395.10591262923
2019,"male",50,519.139161150811
2019,"male",55,596.15980741018
2019,"male",60,659.176699804209
2019,"male",65,708.189838332898
2019,"male",70,835.223891254195
2019,"male",75,948.254190310152
2019,"male",80,1027.275372836
2019,"male",85,1789.47969036378
2020,"male",0,218.217331063306
2020,"male",1,42.0179031212684
2020,"male",5,33.0140667381395
2020,"male",10,46.0196081804369
2020,"male",15,184.078432721747
2020,"male",20,281.119780406582
2020,"male",25,326.138962322226
2020,"male",30,345.147061353276
2020,"male",35,384.163685680169
2020,"male",40,489.20844348334
2020,"male",45,707.935151796915
2020,"male",50,785.334617861803
2020,"male",55,1038.44246285421
2020,"male",60,1234.52601075346
2020,"male",65,1343.5724736158
2020,"male",70,1384.58995047227
2020,"male",75,1477.62959309794
2020,"male",80,1434.61126371188
2020,"male",85,2325.99106564165
2021,"male",0,248.433836109034
2021,"male",1,49.0135047933271
2021,"male",5,22.0060633765958
2021,"male",10,51.0140560093813
2021,"male",15,203.055948429498
2021,"male",20,262.072209303096
2021,"male",25,378.104179834238
2021,"male",30,371.102250578048
2021,"male",35,449.123748004161
2021,"male",40,532.146623470409
2021,"male",45,750.206706020313
2021,"male",50,814.224344934046
2021,"male",55,1042.28718356422
2021,"male",60,1246.34340760175
2021,"male",65,1294.35663678705
2021,"male",70,1371.37785860513
2021,"male",75,1476.40679744798
2021,"male",80,1512.41671933695
2021,"male",85,2443.67331041017
2022,"male",0,274.655373139077
2022,"male",1,59.0102773065184
2022,"male",5,30.0052257490771
2022,"male",10,52.009057965067
2022,"male",15,189.032922219186
2022,"male",20,245.042676950797
2022,"male",25,297.051734915864
2022,"male",30,319.055567131854
2022,"male",35,352.061315455838
2022,"male",40,365.063579947105
2022,"male",45,496.086399051409
2022,"male",50,605.105385939722
2022,"male",55,749.130469535293
2022,"male",60,811.141269416719
2022,"male",65,937.163217562843
